cik_int,cik10,cik_original,company_name,primary_ticker,all_tickers,n_tickers,earliest_filing_date,latest_filing_date,n_filings,n_years,name_normalized
82020,82020,82020,UNITED STATES LIME & MINERALS INC,USLM,{'USLM'},1,00:00.0,00:00.0,20,20,UNITED STATES LIME & MINERALS
1163302,1163302,1163302,UNITED STATES STEEL CORP,X,{'X'},1,00:00.0,00:00.0,20,20,UNITED STATES STEEL
1082554,1082554,1082554,UNITED THERAPEUTICS Corp,UTHR,{'UTHR'},1,00:00.0,00:00.0,21,21,UNITED THERAPEUTICS CORP
731766,731766,731766,UNITEDHEALTH GROUP INC,UNH,{'UNH'},1,00:00.0,00:00.0,24,24,UNITEDHEALTH GROUP
755001,755001,755001,UNITIL CORP,UTL,{'UTL'},1,00:00.0,00:00.0,27,27,UNITIL
920427,920427,920427,UNITY BANCORP INC /NJ/,UNTY,{'UNTY'},1,00:00.0,00:00.0,20,20,UNITY BANCORP INC
102037,102037,102037,UNIVERSAL CORP /VA/,UVV,{'UVV'},1,00:00.0,00:00.0,21,21,UNIVERSAL CORP
1005284,1005284,1005284,UNIVERSAL DISPLAY CORP \PA\,OLED,{'OLED'},1,00:00.0,00:00.0,21,21,UNIVERSAL DISPLAY CORP \PA\
101984,101984,101984,UNIVERSAL ELECTRONICS INC,UEIC,{'UEIC'},1,00:00.0,00:00.0,23,23,UNIVERSAL ELECTRONICS
1552743,1552743,1552743,UNIVERSAL GLOBAL HUB INC.,UGHB,{'UGHB'},1,00:00.0,00:00.0,6,6,UNIVERSAL GLOBAL HUB
798783,798783,798783,UNIVERSAL HEALTH REALTY INCOME TRUST,UHT,{'UHT'},1,00:00.0,00:00.0,25,25,UNIVERSAL HEALTH REALTY INCOME TRUST
891166,891166,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.",UVE,{'UVE'},1,00:00.0,00:00.0,13,13,"UNIVERSAL INSURANCE HOLDINGS,"
1308208,1308208,1308208,"UNIVERSAL LOGISTICS HOLDINGS, INC.",ULH,{'ULH'},1,00:00.0,00:00.0,17,17,"UNIVERSAL LOGISTICS HOLDINGS,"
102109,102109,102109,UNIVERSAL SECURITY INSTRUMENTS INC,UUU,{'UUU'},1,00:00.0,00:00.0,25,25,UNIVERSAL SECURITY INSTRUMENTS
1434389,1434389,1434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",UNSS,{'UNSS'},1,00:00.0,00:00.0,5,5,"UNIVERSAL SOLAR TECHNOLOGY,"
931584,931584,931584,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,USAP,{'USAP'},1,00:00.0,00:00.0,25,25,UNIVERSAL STAINLESS & ALLOY PRODUCTS
1261654,1261654,1261654,UNIVERSAL TECHNICAL INSTITUTE INC,UTI,{'UTI'},1,00:00.0,00:00.0,17,17,UNIVERSAL TECHNICAL INSTITUTE
102212,102212,102212,UNIVEST FINANCIAL Corp,UVSP,{'UVSP'},1,00:00.0,00:00.0,23,23,UNIVEST FINANCIAL CORP
836937,836937,836937,UPD HOLDING CORP.,UPDC,{'UPDC'},1,00:00.0,00:00.0,12,12,UPD HOLDING
1627475,1627475,1627475,"UPWORK, INC",UPWK,{'UPWK'},1,00:00.0,00:00.0,3,3,"UPWORK,"
1375205,1375205,1375205,UR-ENERGY INC,URG,{'URG'},1,00:00.0,00:00.0,8,8,UR-ENERGY
1334933,1334933,1334933,URANIUM ENERGY CORP,UEC,{'UEC'},1,00:00.0,00:00.0,13,13,URANIUM ENERGY
912615,912615,912615,URBAN OUTFITTERS INC,URBN,{'URBN'},1,00:00.0,00:00.0,23,23,URBAN OUTFITTERS
101594,101594,101594,US ENERGY CORP,USEG,{'USEG'},1,00:00.0,00:00.0,25,25,US ENERGY
1665918,1665918,1665918,US Foods Holding Corp.,USFD,{'USFD'},1,00:00.0,00:00.0,4,4,US FOODS HOLDING CORP.
1543623,1543623,1543623,US NUCLEAR CORP.,UCLE,{'UCLE'},1,00:00.0,00:00.0,1,1,US NUCLEAR
923571,923571,923571,US XPRESS ENTERPRISES INC,USX,{'USX'},1,00:00.0,00:00.0,3,3,US XPRESS ENTERPRISES
1522727,1522727,1522727,"USA Compression Partners, LP",USAC,{'USAC'},1,00:00.0,00:00.0,9,9,"USA COMPRESSION PARTNERS, LP"
896264,896264,896264,USANA HEALTH SCIENCES INC,USNA,{'USNA'},1,00:00.0,00:00.0,14,14,USANA HEALTH SCIENCES
1610682,1610682,1610682,USD Partners LP,USDP,{'USDP'},1,00:00.0,00:00.0,7,7,USD PARTNERS LP
706698,706698,706698,UTAH MEDICAL PRODUCTS INC,UTMD,{'UTMD'},1,00:00.0,00:00.0,23,23,UTAH MEDICAL PRODUCTS
832480,832480,832480,UTG INC,UTGN,{'UTGN'},1,00:00.0,00:00.0,20,20,UTG
1030471,1030471,1030471,UTSTARCOM HOLDINGS CORP.,UTSI,{'UTSI'},1,00:00.0,00:00.0,11,11,UTSTARCOM HOLDINGS
898171,898171,898171,UWHARRIE CAPITAL CORP,UWHR,{'UWHR'},1,00:00.0,00:00.0,14,14,UWHARRIE CAPITAL
1543151,1543151,1543151,"Uber Technologies, Inc",UBER,{'UBER'},1,00:00.0,00:00.0,2,2,"UBER TECHNOLOGIES, INC"
1511737,1511737,1511737,Ubiquiti Inc.,UI,{'UI'},1,00:00.0,00:00.0,9,9,UBIQUITI INC.
1403568,1403568,1403568,"Ulta Beauty, Inc.",ULTA,{'ULTA'},1,00:00.0,00:00.0,13,13,"ULTA BEAUTY, INC."
1275014,1275014,1275014,"Ultra Clean Holdings, Inc.",UCTT,{'UCTT'},1,00:00.0,00:00.0,15,15,"ULTRA CLEAN HOLDINGS, INC."
1515673,1515673,1515673,Ultragenyx Pharmaceutical Inc.,RARE,{'RARE'},1,00:00.0,00:00.0,8,8,ULTRAGENYX PHARMACEUTICAL INC.
1317839,1317839,1317839,Umatrin Holding Ltd,UMHL,{'UMHL'},1,00:00.0,00:00.0,11,11,UMATRIN HOLDING LTD
1358099,1358099,1358099,"Umbra Companies, Inc.",UCIX,{'UCIX'},1,00:00.0,00:00.0,6,6,"UMBRA COMPANIES, INC."
1415813,1415813,1415813,Un Monde International Worldwide Ltd.,ARMC,{'ARMC'},1,00:00.0,00:00.0,1,1,UN MONDE INTERNATIONAL WORLDWIDE LTD.
1617669,1617669,1617669,"Unique Fabricating, Inc.",UFAB,{'UFAB'},1,00:00.0,00:00.0,4,4,"UNIQUE FABRICATING, INC."
100517,100517,100517,"United Airlines Holdings, Inc.",UAL,{'UAL'},1,00:00.0,00:00.0,16,16,"UNITED AIRLINES HOLDINGS, INC."
1096938,1096938,1096938,"United Health Products, Inc.",UEEC,{'UEEC'},1,00:00.0,00:00.0,15,15,"UNITED HEALTH PRODUCTS, INC."
1405513,1405513,1405513,"United States 12 Month Natural Gas Fund, LP",UNL,{'UNL'},1,00:00.0,00:00.0,12,12,"UNITED STATES 12 MONTH NATURAL GAS FUND, LP"
1405528,1405528,1405528,"United States 12 Month Oil Fund, LP",USL,{'USL'},1,00:00.0,00:00.0,14,14,"UNITED STATES 12 MONTH OIL FUND, LP"
1472494,1472494,1472494,"United States Brent Oil Fund, LP",BNO,{'BNO'},1,00:00.0,00:00.0,11,11,"UNITED STATES BRENT OIL FUND, LP"
1396878,1396878,1396878,"United States Gasoline Fund, LP",UGA,{'UGA'},1,00:00.0,00:00.0,13,13,"UNITED STATES GASOLINE FUND, LP"
1376227,1376227,1376227,"United States Natural Gas Fund, LP",UNG,{'UNG'},1,00:00.0,00:00.0,14,14,"UNITED STATES NATURAL GAS FUND, LP"
1327068,1327068,1327068,"United States Oil Fund, LP",USO,{'USO'},1,00:00.0,00:00.0,15,15,"UNITED STATES OIL FUND, LP"
1620280,1620280,1620280,Uniti Group Inc.,UNIT,{'UNIT'},1,00:00.0,00:00.0,6,6,UNITI GROUP INC.
1463361,1463361,1463361,"Unity Biotechnology, Inc.",UBX,{'UBX'},1,00:00.0,00:00.0,3,3,"UNITY BIOTECHNOLOGY, INC."
1810806,1810806,1810806,Unity Software Inc.,U,{'U'},1,00:00.0,00:00.0,1,1,UNITY SOFTWARE INC.
1494319,1494319,1494319,Univar Solutions Inc.,UNVR,{'UNVR'},1,00:00.0,00:00.0,6,6,UNIVAR SOLUTIONS INC.
1451512,1451512,1451512,"Unrivaled Brands, Inc.",UNRV,{'UNRV'},1,00:00.0,00:00.0,9,9,"UNRIVALED BRANDS, INC."
1505155,1505155,1505155,"Upland Software, Inc.",UPLD,{'UPLD'},1,00:00.0,00:00.0,7,7,"UPLAND SOFTWARE, INC."
1647639,1647639,1647639,"Upstart Holdings, Inc.",UPST,{'UPST'},1,00:00.0,00:00.0,1,1,"UPSTART HOLDINGS, INC."
1611547,1611547,1611547,Urban Edge Properties,UE,{'UE'},1,00:00.0,00:00.0,7,7,URBAN EDGE PROPERTIES
1668243,1668243,1668243,UroGen Pharma Ltd.,URGN,{'URGN'},1,00:00.0,00:00.0,3,3,UROGEN PHARMA LTD.
1088034,1088034,1088034,"Usio, Inc.",USIO,{'USIO'},1,00:00.0,00:00.0,18,18,"USIO, INC."
1334740,1334740,1334740,"Utilicraft Aerospace Industries, Inc.",UITA,{'UITA'},1,00:00.0,00:00.0,1,1,"UTILICRAFT AEROSPACE INDUSTRIES, INC."
1739566,1739566,1739566,"Utz Brands, Inc.",UTZ,{'UTZ'},1,00:00.0,00:00.0,2,2,"UTZ BRANDS, INC."
103379,103379,103379,V F CORP,VFC,{'VFC'},1,00:00.0,00:00.0,15,15,V F
1601548,1601548,1601548,"V2X, Inc.",VVX,{'VVX'},1,00:00.0,00:00.0,7,7,"V2X, INC."
894627,894627,894627,VAALCO ENERGY INC /DE/,EGY,{'EGY'},1,00:00.0,00:00.0,16,16,VAALCO ENERGY INC
1205922,1205922,1205922,"VACCINEX, INC.",VCNX,{'VCNX'},1,00:00.0,00:00.0,3,3,"VACCINEX,"
812011,812011,812011,VAIL RESORTS INC,MTN,{'MTN'},1,00:00.0,00:00.0,22,22,VAIL RESORTS
1035002,1035002,1035002,VALERO ENERGY CORP/TX,VLO,{'VLO'},1,00:00.0,00:00.0,21,21,VALERO ENERGY CORP/TX
59255,59255,59255,VALHI INC /DE/,VHI,{'VHI'},1,00:00.0,00:00.0,23,23,VALHI INC
102729,102729,102729,VALMONT INDUSTRIES INC,VMI,{'VMI'},1,00:00.0,00:00.0,24,24,VALMONT INDUSTRIES
717720,717720,717720,VALUE LINE INC,VALU,{'VALU'},1,00:00.0,00:00.0,26,26,VALUE LINE
1674910,1674910,1674910,VALVOLINE INC,VVV,{'VVV'},1,00:00.0,00:00.0,5,5,VALVOLINE
1532383,1532383,1532383,VANJIA CORP,VNJA,{'VNJA'},1,00:00.0,00:00.0,6,6,VANJIA
1465872,1465872,1465872,VANTAGE DRILLING INTERNATIONAL,VTDRF,{'VTDRF'},1,00:00.0,00:00.0,2,2,VANTAGE DRILLING INTERNATIONAL
1253176,1253176,1253176,VAPOTHERM INC,VAPO,{'VAPO'},1,00:00.0,00:00.0,3,3,VAPOTHERM
1361113,1361113,1361113,VARONIS SYSTEMS INC,VRNS,{'VRNS'},1,00:00.0,00:00.0,7,7,VARONIS SYSTEMS
839087,839087,839087,VASO Corp,VASO,{'VASO'},1,00:00.0,00:00.0,15,15,VASO CORP
764195,764195,764195,VBI Vaccines Inc/BC,VBIV,{'VBIV'},1,00:00.0,00:00.0,5,5,VBI VACCINES INC/BC
59440,59440,59440,VECTOR GROUP LTD,VGR,{'VGR'},1,00:00.0,00:00.0,19,19,VECTOR GROUP LTD
103145,103145,103145,VEECO INSTRUMENTS INC,VECO,{'VECO'},1,00:00.0,00:00.0,24,24,VEECO INSTRUMENTS
1393052,1393052,1393052,VEEVA SYSTEMS INC,VEEV,{'VEEV'},1,00:00.0,00:00.0,7,7,VEEVA SYSTEMS
1384101,1384101,1384101,"VERACYTE, INC.",VCYT,{'VCYT'},1,00:00.0,00:00.0,8,8,"VERACYTE,"
1506929,1506929,1506929,"VERDE RESOURCES, INC.",VRDR,{'VRDR'},1,00:00.0,00:00.0,7,7,"VERDE RESOURCES,"
1166388,1166388,1166388,VERINT SYSTEMS INC,VRNT,{'VRNT'},1,00:00.0,00:00.0,16,16,VERINT SYSTEMS
1014473,1014473,1014473,VERISIGN INC/CA,VRSN,{'VRSN'},1,00:00.0,00:00.0,21,21,VERISIGN INC/CA
773318,773318,773318,VERITEC INC,VRTC,{'VRTC'},1,00:00.0,00:00.0,13,13,VERITEC
732712,732712,732712,VERIZON COMMUNICATIONS INC,VZ,{'VZ'},1,00:00.0,00:00.0,7,7,VERIZON COMMUNICATIONS
875320,875320,875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,{'VRTX'},1,00:00.0,00:00.0,23,23,VERTEX PHARMACEUTICALS INC
863894,863894,863894,VERU INC.,VERU,{'VERU'},1,00:00.0,00:00.0,13,13,VERU
1430523,1430523,1430523,"VERUS INTERNATIONAL, INC.",VRUS,{'VRUS'},1,00:00.0,00:00.0,13,13,"VERUS INTERNATIONAL,"
884219,884219,884219,VIAD CORP,VVI,{'VVI'},1,00:00.0,00:00.0,17,17,VIAD
797721,797721,797721,VIASAT INC,VSAT,{'VSAT'},1,00:00.0,00:00.0,21,21,VIASAT
912093,912093,912093,VIAVI SOLUTIONS INC.,VIAV,{'VIAV'},1,00:00.0,00:00.0,25,25,VIAVI SOLUTIONS
1705696,1705696,1705696,VICI PROPERTIES INC.,VICI,{'VICI'},1,00:00.0,00:00.0,4,4,VICI PROPERTIES
751978,751978,751978,VICOR CORP,VICR,{'VICR'},1,00:00.0,00:00.0,20,20,VICOR
700764,700764,700764,"VICTORY OILFIELD TECH, INC.",VYEY,{'VYEY'},1,00:00.0,00:00.0,10,10,"VICTORY OILFIELD TECH,"
758743,758743,758743,VIDEO DISPLAY CORP,VIDE,{'VIDE'},1,00:00.0,00:00.0,20,20,VIDEO DISPLAY
830122,830122,830122,"VIDLER WATER RESOURCES, INC.",VWTR,{'VWTR'},1,00:00.0,00:00.0,20,20,"VIDLER WATER RESOURCES,"
1729149,1729149,1729149,"VIEMED HEALTHCARE, INC.",VMD,{'VMD'},1,00:00.0,00:00.0,2,2,"VIEMED HEALTHCARE,"
1075857,1075857,1075857,VIEW SYSTEMS INC,VSYM,{'VSYM'},1,00:00.0,00:00.0,12,12,VIEW SYSTEMS
1102432,1102432,1102432,"VIKING ENERGY GROUP, INC.",VKIN,{'VKIN'},1,00:00.0,00:00.0,13,13,"VIKING ENERGY GROUP,"
103595,103595,103595,VILLAGE SUPER MARKET INC,VLGEA,{'VLGEA'},1,00:00.0,00:00.0,27,27,VILLAGE SUPER MARKET
1579157,1579157,1579157,VINCE HOLDING CORP.,VNCE,{'VNCE'},1,00:00.0,00:00.0,7,7,VINCE HOLDING
751365,751365,751365,VIRCO MFG CORPORATION,VIRC,{'VIRC'},1,00:00.0,00:00.0,19,19,VIRCO MFG CORPORATION
1536089,1536089,1536089,VIRTUAL INTERACTIVE TECHNOLOGIES CORP.,VRVR,{'VRVR'},1,00:00.0,00:00.0,2,2,VIRTUAL INTERACTIVE TECHNOLOGIES
883237,883237,883237,"VIRTUS INVESTMENT PARTNERS, INC.",VRTS,{'VRTS'},1,00:00.0,00:00.0,13,13,"VIRTUS INVESTMENT PARTNERS,"
1403161,1403161,1403161,VISA INC.,V,{'V'},1,00:00.0,00:00.0,13,13,VISA
103730,103730,103730,VISHAY INTERTECHNOLOGY INC,VSH,{'VSH'},1,00:00.0,00:00.0,28,28,VISHAY INTERTECHNOLOGY
1627041,1627041,1627041,VISIBER57 CORP.,VCOR,{'VCOR'},1,00:00.0,00:00.0,5,5,VISIBER57
1676580,1676580,1676580,VISION HYDROGEN Corp,VIHD,{'VIHD'},1,00:00.0,00:00.0,5,5,VISION HYDROGEN CORP
783324,783324,783324,VISTA GOLD CORP,VGZ,{'VGZ'},1,00:00.0,00:00.0,22,22,VISTA GOLD
1111335,1111335,1111335,VISTEON CORP,VC,{'VC'},1,00:00.0,00:00.0,11,11,VISTEON
1697884,1697884,1697884,VITASPRING BIOMEDICAL CO. LTD.,VSBC,{'VSBC'},1,00:00.0,00:00.0,1,1,VITASPRING BIOMEDICAL CO. LTD.
879682,879682,879682,"VIVEVE MEDICAL, INC.",VIVE,{'VIVE'},1,00:00.0,00:00.0,11,11,"VIVEVE MEDICAL,"
1703073,1703073,1703073,VIVIC CORP.,VIVC,{'VIVC'},1,00:00.0,00:00.0,2,2,VIVIC
1449349,1449349,1449349,VIVOS INC,RDGL,{'RDGL'},1,00:00.0,00:00.0,13,13,VIVOS
1506295,1506295,1506295,"VIZCONNECT, INC.",VIZC,{'VIZC'},1,00:00.0,00:00.0,2,2,"VIZCONNECT,"
1124610,1124610,1124610,"VMWARE, INC.",VMW,{'VMW'},1,00:00.0,00:00.0,13,13,"VMWARE,"
1376804,1376804,1376804,"VNUE, Inc.",VNUE,{'VNUE'},1,00:00.0,00:00.0,13,13,"VNUE, INC."
