cik_int,cik10,cik_original,company_name,primary_ticker,all_tickers,n_tickers,earliest_filing_date,latest_filing_date,n_filings,n_years,name_normalized
1084869,1084869,1084869,1 800 FLOWERS COM INC,FLWS,{'FLWS'},1,00:00.0,00:00.0,21,21,1 800 FLOWERS COM
1770787,1770787,1770787,"10x Genomics, Inc.",TXG,{'TXG'},1,00:00.0,00:00.0,2,2,"10X GENOMICS, INC."
1627611,1627611,1627611,12 Retech Corp,RETC,{'RETC'},1,00:00.0,00:00.0,4,4,12 RETECH CORP
893739,893739,893739,180 DEGREE CAPITAL CORP. /NY/,TURN,{'TURN'},1,00:00.0,00:00.0,22,22,180 DEGREE CAPITAL CORP.
884380,884380,884380,"1812 Brewing Company, Inc.",KEGS,{'KEGS'},1,00:00.0,00:00.0,1,1,"1812 BREWING COMPANY, INC."
1599407,1599407,1599407,1847 Holdings LLC,EFSH,{'EFSH'},1,00:00.0,00:00.0,3,3,1847 HOLDINGS LLC
1404123,1404123,1404123,1Life Healthcare Inc,ONEM,{'ONEM'},1,00:00.0,00:00.0,2,2,1LIFE HEALTHCARE INC
34782,34782,34782,1ST SOURCE CORP,SRCE,{'SRCE'},1,00:00.0,00:00.0,24,24,1ST SOURCE
1347858,1347858,1347858,"22nd Century Group, Inc.",XXII,{'XXII'},1,00:00.0,00:00.0,10,10,"22ND CENTURY GROUP, INC."
1804591,1804591,1804591,23andMe Holding Co.,ME,{'ME'},1,00:00.0,00:00.0,1,1,23ANDME HOLDING CO.
1459417,1459417,1459417,"2U, Inc.",TWOU,{'TWOU'},1,00:00.0,00:00.0,7,7,"2U, INC."
933972,933972,933972,374Water Inc.,SCWO,{'SCWO'},1,00:00.0,00:00.0,13,13,374WATER INC.
910638,910638,910638,3D SYSTEMS CORP,DDD,{'DDD'},1,00:00.0,00:00.0,25,25,3D SYSTEMS
66740,66740,66740,3M CO,MMM,{'MMM'},1,00:00.0,00:00.0,23,23,3M
1650648,1650648,1650648,"4D Molecular Therapeutics, Inc.",FDMT,{'FDMT'},1,00:00.0,00:00.0,1,1,"4D MOLECULAR THERAPEUTICS, INC."
1783875,1783875,1783875,4Front Ventures Corp.,FFNTF,{'FFNTF'},1,00:00.0,00:00.0,1,1,4FRONT VENTURES CORP.
1823465,1823465,1823465,5:01 Acquisition Corp.,FVAM,{'FVAM'},1,00:00.0,00:00.0,1,1,5:01 ACQUISITION CORP.
1467913,1467913,1467913,808 RENEWABLE ENERGY CORP,RNWR,{'RNWR'},1,00:00.0,00:00.0,2,2,808 RENEWABLE ENERGY
1785173,1785173,1785173,"89bio, Inc.",ETNB,{'ETNB'},1,00:00.0,00:00.0,2,2,"89BIO, INC."
1023731,1023731,1023731,8X8 INC /DE/,EGHT,{'EGHT'},1,00:00.0,00:00.0,23,23,8X8 INC
1551986,1551986,1551986,"9 METERS BIOPHARMA, INC.",NMTR,{'NMTR'},1,00:00.0,00:00.0,5,5,"9 METERS BIOPHARMA,"
1555279,1555279,1555279,908 Devices Inc.,MASS,{'MASS'},1,00:00.0,00:00.0,1,1,908 DEVICES INC.
1591588,1591588,1591588,"A-Mark Precious Metals, Inc.",AMRK,{'AMRK'},1,00:00.0,00:00.0,7,7,"A-MARK PRECIOUS METALS, INC."
18172,18172,18172,A. M. Castle & Co.,CTAM,{'CTAM'},1,00:00.0,00:00.0,20,20,A. M. CASTLE & CO.
1432290,1432290,1432290,"A1 Group, Inc.",AWON,{'AWON'},1,00:00.0,00:00.0,3,3,"A1 GROUP, INC."
1580808,1580808,1580808,"A10 Networks, Inc.",ATEN,{'ATEN'},1,00:00.0,00:00.0,7,7,"A10 NETWORKS, INC."
824142,824142,824142,"AAON, INC.",AAON,{'AAON'},1,00:00.0,00:00.0,26,26,"AAON,"
1750,1750,1750,AAR CORP,AIR,{'AIR'},1,00:00.0,00:00.0,21,21,AAR
1605331,1605331,1605331,AB INTERNATIONAL GROUP CORP.,ABQQ,{'ABQQ'},1,00:00.0,00:00.0,5,5,AB INTERNATIONAL GROUP
1800,1800,1800,ABBOTT LABORATORIES,ABT,{'ABT'},1,00:00.0,00:00.0,25,25,ABBOTT LABORATORIES
1300938,1300938,1300938,"ABCO Energy, Inc.",ABCE,{'ABCE'},1,00:00.0,00:00.0,7,7,"ABCO ENERGY, INC."
318306,318306,318306,ABEONA THERAPEUTICS INC.,ABEO,{'ABEO'},1,00:00.0,00:00.0,25,25,ABEONA THERAPEUTICS
1018840,1018840,1018840,ABERCROMBIE & FITCH CO /DE/,ANF,{'ANF'},1,00:00.0,00:00.0,22,22,ABERCROMBIE & FITCH CO
815094,815094,815094,ABIOMED INC,ABMD,{'ABMD'},1,00:00.0,00:00.0,26,26,ABIOMED
771497,771497,771497,ABM INDUSTRIES INC /DE/,ABM,{'ABM'},1,00:00.0,00:00.0,22,22,ABM INDUSTRIES INC
867665,867665,867665,ABRAXAS PETROLEUM CORP,AXAS,{'AXAS'},1,00:00.0,00:00.0,21,21,ABRAXAS PETROLEUM
1173313,1173313,1173313,"ABVC BIOPHARMA, INC.",ABVC,{'ABVC'},1,00:00.0,00:00.0,10,10,"ABVC BIOPHARMA,"
934549,934549,934549,ACACIA RESEARCH CORP,ACTG,{'ACTG'},1,00:00.0,00:00.0,19,19,ACACIA RESEARCH
1070494,1070494,1070494,ACADIA PHARMACEUTICALS INC,ACAD,{'ACAD'},1,00:00.0,00:00.0,17,17,ACADIA PHARMACEUTICALS
899629,899629,899629,ACADIA REALTY TRUST,AKR,{'AKR'},1,00:00.0,00:00.0,24,24,ACADIA REALTY TRUST
712034,712034,712034,ACCO BRANDS Corp,ACCO,{'ACCO'},1,00:00.0,00:00.0,16,16,ACCO BRANDS CORP
1138723,1138723,1138723,ACCURAY INC,ARAY,{'ARAY'},1,00:00.0,00:00.0,14,14,ACCURAY
1427925,1427925,1427925,ACELRX PHARMACEUTICALS INC,ACRX,{'ACRX'},1,00:00.0,00:00.0,11,11,ACELRX PHARMACEUTICALS
949858,949858,949858,"ACHIEVE LIFE SCIENCES, INC.",ACHV,{'ACHV'},1,00:00.0,00:00.0,25,25,"ACHIEVE LIFE SCIENCES,"
935036,935036,935036,"ACI WORLDWIDE, INC.",ACIW,{'ACIW'},1,00:00.0,00:00.0,25,25,"ACI WORLDWIDE,"
1680062,1680062,1680062,"ACM Research, Inc.",ACMR,{'ACMR'},1,00:00.0,00:00.0,4,4,"ACM RESEARCH, INC."
2098,2098,2098,ACME UNITED CORP,ACU,{'ACU'},1,00:00.0,00:00.0,26,26,ACME UNITED
715579,715579,715579,ACNB CORP,ACNB,{'ACNB'},1,00:00.0,00:00.0,22,22,ACNB
1008848,1008848,1008848,ACORDA THERAPEUTICS INC,ACOR,{'ACOR'},1,00:00.0,00:00.0,16,16,ACORDA THERAPEUTICS
880984,880984,880984,"ACORN ENERGY, INC.",ACFN,{'ACFN'},1,00:00.0,00:00.0,23,23,"ACORN ENERGY,"
1622996,1622996,1622996,"ACRO BIOMEDICAL CO., LTD.",ACBM,{'ACBM'},1,00:00.0,00:00.0,1,1,"ACRO BIOMEDICAL CO., LTD."
1144215,1144215,1144215,ACUITY BRANDS INC,AYI,{'AYI'},1,00:00.0,00:00.0,19,19,ACUITY BRANDS
786947,786947,786947,"ACURA PHARMACEUTICALS, INC",ACUR,{'ACUR'},1,00:00.0,00:00.0,23,23,"ACURA PHARMACEUTICALS,"
1171008,1171008,1171008,ADAMANT DRI PROCESSING & MINERALS GROUP,ADMG,{'ADMG'},1,00:00.0,00:00.0,5,5,ADAMANT DRI PROCESSING & MINERALS GROUP
2178,2178,2178,"ADAMS RESOURCES & ENERGY, INC.",AE,{'AE'},1,00:00.0,00:00.0,19,19,"ADAMS RESOURCES & ENERGY,"
1650101,1650101,1650101,ADDENTAX GROUP CORP.,ATXG,{'ATXG'},1,00:00.0,00:00.0,3,3,ADDENTAX GROUP
874292,874292,874292,ADDVANTAGE TECHNOLOGIES GROUP INC,AEY,{'AEY'},1,00:00.0,00:00.0,17,17,ADDVANTAGE TECHNOLOGIES GROUP
1588014,1588014,1588014,"ADM ENDEAVORS, INC.",ADMQ,{'ADMQ'},1,00:00.0,00:00.0,2,2,"ADM ENDEAVORS,"
849401,849401,849401,"ADM TRONICS UNLIMITED, INC.",ADMT,{'ADMT'},1,00:00.0,00:00.0,12,12,"ADM TRONICS UNLIMITED,"
1368514,1368514,1368514,"ADMA BIOLOGICS, INC.",ADMA,{'ADMA'},1,00:00.0,00:00.0,8,8,"ADMA BIOLOGICS,"
796343,796343,796343,ADOBE INC.,ADBE,{'ADBE'},1,00:00.0,00:00.0,27,27,ADOBE
1703056,1703056,1703056,ADT Inc.,ADT,{'ADT'},1,00:00.0,00:00.0,4,4,ADT INC.
926282,926282,926282,"ADTRAN Holdings, Inc.",ADTN,{'ADTN'},1,00:00.0,00:00.0,23,23,"ADTRAN HOLDINGS, INC."
1158449,1158449,1158449,ADVANCE AUTO PARTS INC,AAP,{'AAP'},1,00:00.0,00:00.0,13,13,ADVANCE AUTO PARTS
1096950,1096950,1096950,"ADVANCED CONTAINER TECHNOLOGIES, INC.",ACTX,{'ACTX'},1,00:00.0,00:00.0,7,7,"ADVANCED CONTAINER TECHNOLOGIES,"
1604028,1604028,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",WMS,{'WMS'},1,00:00.0,00:00.0,6,6,"ADVANCED DRAINAGE SYSTEMS,"
927003,927003,927003,ADVANCED ENERGY INDUSTRIES INC,AEIS,{'AEIS'},1,00:00.0,00:00.0,22,22,ADVANCED ENERGY INDUSTRIES
2488,2488,2488,ADVANCED MICRO DEVICES INC,AMD,{'AMD'},1,00:00.0,00:00.0,24,24,ADVANCED MICRO DEVICES
352991,352991,352991,ADVANCED OXYGEN TECHNOLOGIES INC,AOXY,{'AOXY'},1,00:00.0,00:00.0,13,13,ADVANCED OXYGEN TECHNOLOGIES
868857,868857,868857,AECOM,ACM,{'ACM'},1,00:00.0,00:00.0,14,14,AECOM
1040470,1040470,1040470,AEHR TEST SYSTEMS,AEHR,{'AEHR'},1,00:00.0,00:00.0,23,23,AEHR TEST SYSTEMS
738214,738214,738214,"AEMETIS, INC",AMTX,{'AMTX'},1,00:00.0,00:00.0,13,13,"AEMETIS,"
1337553,1337553,1337553,AERIE PHARMACEUTICALS INC,AERI,{'AERI'},1,00:00.0,00:00.0,8,8,AERIE PHARMACEUTICALS
40888,40888,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",AJRD,{'AJRD'},1,00:00.0,00:00.0,22,22,"AEROJET ROCKETDYNE HOLDINGS,"
882291,882291,882291,AETHLON MEDICAL INC,AEMD,{'AEMD'},1,00:00.0,00:00.0,12,12,AETHLON MEDICAL
4977,4977,4977,AFLAC INC,AFL,{'AFL'},1,00:00.0,00:00.0,26,26,AFLAC
880266,880266,880266,AGCO CORP /DE,AGCO,{'AGCO'},1,00:00.0,00:00.0,23,23,AGCO CORP
1098972,1098972,1098972,AGENUS INC,AGEN,{'AGEN'},1,00:00.0,00:00.0,20,20,AGENUS
1261249,1261249,1261249,AGILE THERAPEUTICS INC,AGRX,{'AGRX'},1,00:00.0,00:00.0,7,7,AGILE THERAPEUTICS
1090872,1090872,1090872,"AGILENT TECHNOLOGIES, INC.",A,{'A'},1,00:00.0,00:00.0,21,21,"AGILENT TECHNOLOGIES,"
78749,78749,78749,AGILYSYS INC,AGYS,{'AGYS'},1,00:00.0,00:00.0,23,23,AGILYSYS
1439222,1439222,1439222,"AGIOS PHARMACEUTICALS, INC.",AGIO,{'AGIO'},1,00:00.0,00:00.0,8,8,"AGIOS PHARMACEUTICALS,"
1040850,1040850,1040850,"AGRITEK HOLDINGS, INC.",AGTK,{'AGTK'},1,00:00.0,00:00.0,13,13,"AGRITEK HOLDINGS,"
1598323,1598323,1598323,AGRO CAPITAL MANAGEMENT CORP.,ACMB,{'ACMB'},1,00:00.0,00:00.0,3,3,AGRO CAPITAL MANAGEMENT
1420565,1420565,1420565,AILERON THERAPEUTICS INC,ALRN,{'ALRN'},1,00:00.0,00:00.0,4,4,AILERON THERAPEUTICS
946644,946644,946644,AIM ImmunoTech Inc.,AIM,{'AIM'},1,00:00.0,00:00.0,25,25,AIM IMMUNOTECH INC.
1009891,1009891,1009891,AIR INDUSTRIES GROUP,AIRI,{'AIRI'},1,00:00.0,00:00.0,11,11,AIR INDUSTRIES GROUP
353184,353184,353184,AIR T INC,AIRT,{'AIRT'},1,00:00.0,00:00.0,25,25,AIR T
1272842,1272842,1272842,AIRGAIN INC,AIRG,{'AIRG'},1,00:00.0,00:00.0,5,5,AIRGAIN
12239,12239,12239,AIkido Pharma Inc.,AIKI,{'AIKI'},1,00:00.0,00:00.0,21,21,AIKIDO PHARMA INC.
1086222,1086222,1086222,AKAMAI TECHNOLOGIES INC,AKAM,{'AKAM'},1,00:00.0,00:00.0,20,20,AKAMAI TECHNOLOGIES
897077,897077,897077,ALAMO GROUP INC,ALG,{'ALG'},1,00:00.0,00:00.0,25,25,ALAMO GROUP
766421,766421,766421,"ALASKA AIR GROUP, INC.",ALK,{'ALK'},1,00:00.0,00:00.0,8,8,"ALASKA AIR GROUP,"
819793,819793,819793,ALBANY INTERNATIONAL CORP /DE/,AIN,{'AIN'},1,00:00.0,00:00.0,26,26,ALBANY INTERNATIONAL CORP
915913,915913,915913,ALBEMARLE CORP,ALB,{'ALB'},1,00:00.0,00:00.0,22,22,ALBEMARLE
1322505,1322505,1322505,"ALBIREO PHARMA, INC.",ALBO,{'ALBO'},1,00:00.0,00:00.0,13,13,"ALBIREO PHARMA,"
903419,903419,903419,ALERUS FINANCIAL CORP,ALRS,{'ALRS'},1,00:00.0,00:00.0,2,2,ALERUS FINANCIAL
3499,3499,3499,ALEXANDERS INC,ALX,{'ALX'},1,00:00.0,00:00.0,19,19,ALEXANDERS
1035443,1035443,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,{'ARE'},1,00:00.0,00:00.0,23,23,"ALEXANDRIA REAL ESTATE EQUITIES,"
3545,3545,3545,"ALICO, INC.",ALCO,{'ALCO'},1,00:00.0,00:00.0,26,26,"ALICO,"
1097149,1097149,1097149,ALIGN TECHNOLOGY INC,ALGN,{'ALGN'},1,00:00.0,00:00.0,20,20,ALIGN TECHNOLOGY
1267602,1267602,1267602,ALIMERA SCIENCES INC,ALIM,{'ALIM'},1,00:00.0,00:00.0,2,2,ALIMERA SCIENCES
1438731,1438731,1438731,ALJ REGIONAL HOLDINGS INC,ALJJ,{'ALJJ'},1,00:00.0,00:00.0,5,5,ALJ REGIONAL HOLDINGS
1532390,1532390,1532390,ALKALINE WATER Co INC,WTER,{'WTER'},1,00:00.0,00:00.0,7,7,ALKALINE WATER CO
1286459,1286459,1286459,ALL FOR ONE MEDIA CORP.,AFOM,{'AFOM'},1,00:00.0,00:00.0,4,4,ALL FOR ONE MEDIA
66756,66756,66756,ALLETE INC,ALE,{'ALE'},1,00:00.0,00:00.0,21,21,ALLETE
1086600,1086600,1086600,ALLIANCE RESOURCE PARTNERS LP,ARLP,{'ARLP'},1,00:00.0,00:00.0,22,22,ALLIANCE RESOURCE PARTNERS LP
825313,825313,825313,ALLIANCEBERNSTEIN HOLDING L.P.,AB,{'AB'},1,00:00.0,00:00.0,26,26,ALLIANCEBERNSTEIN HOLDING L.P.
352541,352541,352541,ALLIANT ENERGY CORP,LNT,{'LNT'},1,00:00.0,00:00.0,23,23,ALLIANT ENERGY
874710,874710,874710,ALLIED HEALTHCARE PRODUCTS INC,AHPI,{'AHPI'},1,00:00.0,00:00.0,25,25,ALLIED HEALTHCARE PRODUCTS
46129,46129,46129,ALLIED MOTION TECHNOLOGIES INC,AMOT,{'AMOT'},1,00:00.0,00:00.0,26,26,ALLIED MOTION TECHNOLOGIES
1124804,1124804,1124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",MDRX,{'MDRX'},1,00:00.0,00:00.0,20,20,"ALLSCRIPTS HEALTHCARE SOLUTIONS,"
1178670,1178670,1178670,"ALNYLAM PHARMACEUTICALS, INC.",ALNY,{'ALNY'},1,00:00.0,00:00.0,17,17,"ALNYLAM PHARMACEUTICALS,"
1387467,1387467,1387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,{'AOSL'},1,00:00.0,00:00.0,10,10,ALPHA & OMEGA SEMICONDUCTOR LTD
855787,855787,855787,ALPHA ENERGY INC,APHE,{'APHE'},1,00:00.0,00:00.0,4,4,ALPHA ENERGY
1491829,1491829,1491829,ALPHA NETWORK ALLIANCE VENTURES INC.,ANAV,{'ANAV'},1,00:00.0,00:00.0,7,7,ALPHA NETWORK ALLIANCE VENTURES
884269,884269,884269,ALPHA PRO TECH LTD,APT,{'APT'},1,00:00.0,00:00.0,22,22,ALPHA PRO TECH LTD
1606698,1606698,1606698,"ALPINE 4 HOLDINGS, INC.",ALPP,{'ALPP'},1,00:00.0,00:00.0,5,5,"ALPINE 4 HOLDINGS,"
1626199,1626199,1626199,"ALPINE IMMUNE SCIENCES, INC.",ALPN,{'ALPN'},1,00:00.0,00:00.0,6,6,"ALPINE IMMUNE SCIENCES,"
1087022,1087022,1087022,ALR TECHNOLOGIES INC.,ALRT,{'ALRT'},1,00:00.0,00:00.0,13,13,ALR TECHNOLOGIES
1442999,1442999,1442999,ALTEROLA BIOTECH INC.,ABTI,{'ABTI'},1,00:00.0,00:00.0,10,10,ALTEROLA BIOTECH
775057,775057,775057,ALTEX INDUSTRIES INC,ALTX,{'ALTX'},1,00:00.0,00:00.0,12,12,ALTEX INDUSTRIES
1462418,1462418,1462418,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,ASPS,{'ASPS'},1,00:00.0,00:00.0,12,12,ALTISOURCE PORTFOLIO SOLUTIONS S.A.
764180,764180,764180,"ALTRIA GROUP, INC.",MO,{'MO'},1,00:00.0,00:00.0,23,23,"ALTRIA GROUP,"
747435,747435,747435,"ALUF HOLDINGS, INC.",AHIX,{'AHIX'},1,00:00.0,00:00.0,1,1,"ALUF HOLDINGS,"
1810182,1810182,1810182,ALX ONCOLOGY HOLDINGS INC,ALXO,{'ALXO'},1,00:00.0,00:00.0,1,1,ALX ONCOLOGY HOLDINGS
1142801,1142801,1142801,AMANASU ENVIRONMENT CORP,AMSU,{'AMSU'},1,00:00.0,00:00.0,13,13,AMANASU ENVIRONMENT
1168663,1168663,1168663,AMANASU TECHNO HOLDINGS CORP,ANSU,{'ANSU'},1,00:00.0,00:00.0,13,13,AMANASU TECHNO HOLDINGS
897448,897448,897448,AMARIN CORP PLC\UK,AMRN,{'AMRN'},1,00:00.0,00:00.0,11,11,AMARIN CORP PLC\UK
1018724,1018724,1018724,AMAZON COM INC,AMZN,{'AMZN'},1,00:00.0,00:00.0,21,21,AMAZON COM
1280263,1280263,1280263,AMBARELLA INC,AMBA,{'AMBA'},1,00:00.0,00:00.0,8,8,AMBARELLA
1514991,1514991,1514991,AMC Networks Inc.,AMCX,{'AMCX'},1,00:00.0,00:00.0,10,10,AMC NETWORKS INC.
928465,928465,928465,AMCON DISTRIBUTING CO,DIT,{'DIT'},1,00:00.0,00:00.0,23,23,AMCON DISTRIBUTING
896262,896262,896262,AMEDISYS INC,AMED,{'AMED'},1,00:00.0,00:00.0,22,22,AMEDISYS
4457,4457,4457,AMERCO /NV/,UHAL,{'UHAL'},1,00:00.0,00:00.0,26,26,AMERCO
1002910,1002910,1002910,AMEREN CORP,AEE,{'AEE'},1,00:00.0,00:00.0,21,21,AMEREN
1059142,1059142,1059142,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,{'ATAX'},1,00:00.0,00:00.0,21,21,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P."
1062231,1062231,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AXL,{'AXL'},1,00:00.0,00:00.0,21,21,AMERICAN AXLE & MANUFACTURING HOLDINGS
1576873,1576873,1576873,AMERICAN BATTERY TECHNOLOGY Co,ABML,{'ABML'},1,00:00.0,00:00.0,4,4,AMERICAN BATTERY TECHNOLOGY CO
896747,896747,896747,AMERICAN BIO MEDICA CORP,ABMC,{'ABMC'},1,00:00.0,00:00.0,14,14,AMERICAN BIO MEDICA
1468679,1468679,1468679,AMERICAN CRYOSTEM Corp,CRYO,{'CRYO'},1,00:00.0,00:00.0,11,11,AMERICAN CRYOSTEM CORP
919012,919012,919012,AMERICAN EAGLE OUTFITTERS INC,AEO,{'AEO'},1,00:00.0,00:00.0,22,22,AMERICAN EAGLE OUTFITTERS
1626556,1626556,1626556,"AMERICAN EDUCATION CENTER, INC.",AMCT,{'AMCT'},1,00:00.0,00:00.0,5,5,"AMERICAN EDUCATION CENTER,"
4962,4962,4962,AMERICAN EXPRESS CO,AXP,{'AXP'},1,00:00.0,00:00.0,25,25,AMERICAN EXPRESS
1300524,1300524,1300524,AMERICAN INTERNATIONAL HOLDINGS CORP.,AMIH,{'AMIH'},1,00:00.0,00:00.0,11,11,AMERICAN INTERNATIONAL HOLDINGS
741516,741516,741516,AMERICAN NATIONAL BANKSHARES INC.,AMNB,{'AMNB'},1,00:00.0,00:00.0,22,22,AMERICAN NATIONAL BANKSHARES
822746,822746,822746,"AMERICAN NOBLE GAS, INC.",IFNY,{'IFNY'},1,00:00.0,00:00.0,16,16,"AMERICAN NOBLE GAS,"
1201792,1201792,1201792,AMERICAN PUBLIC EDUCATION INC,APEI,{'APEI'},1,00:00.0,00:00.0,14,14,AMERICAN PUBLIC EDUCATION
1102238,1102238,1102238,AMERICAN REALTY INVESTORS INC,ARL,{'ARL'},1,00:00.0,00:00.0,19,19,AMERICAN REALTY INVESTORS
744825,744825,744825,AMERICAN SHARED HOSPITAL SERVICES,AMS,{'AMS'},1,00:00.0,00:00.0,23,23,AMERICAN SHARED HOSPITAL SERVICES
713425,713425,713425,AMERICAN SOFTWARE INC,AMSWA,{'AMSWA'},1,00:00.0,00:00.0,24,24,AMERICAN SOFTWARE
1056903,1056903,1056903,AMERICAN STATES WATER CO,AWR,{'AWR'},1,00:00.0,00:00.0,23,23,AMERICAN STATES WATER
880807,880807,880807,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,{'AMSC'},1,00:00.0,00:00.0,24,24,AMERICAN SUPERCONDUCTOR CORP
1053507,1053507,1053507,AMERICAN TOWER CORP /MA/,AMT,{'AMT'},1,00:00.0,00:00.0,23,23,AMERICAN TOWER CORP
5981,5981,5981,AMERICAN VANGUARD CORP,AVD,{'AVD'},1,00:00.0,00:00.0,22,22,AMERICAN VANGUARD
794619,794619,794619,AMERICAN WOODMARK CORP,AMWD,{'AMWD'},1,00:00.0,00:00.0,20,20,AMERICAN WOODMARK
799850,799850,799850,AMERICAS CARMART INC,CRMT,{'CRMT'},1,00:00.0,00:00.0,23,23,AMERICAS CARMART
1455863,1455863,1455863,AMERICOLD REALTY TRUST,COLD,{'COLD'},1,00:00.0,00:00.0,4,4,AMERICOLD REALTY TRUST
1514443,1514443,1514443,"AMERIGUARD SECURITY SERVICES, INC.",AGSS,{'AGSS'},1,00:00.0,00:00.0,3,3,"AMERIGUARD SECURITY SERVICES,"
820027,820027,820027,AMERIPRISE FINANCIAL INC,AMP,{'AMP'},1,00:00.0,00:00.0,16,16,AMERIPRISE FINANCIAL
1018979,1018979,1018979,AMERISAFE INC,AMSF,{'AMSF'},1,00:00.0,00:00.0,16,16,AMERISAFE
707605,707605,707605,AMERISERV FINANCIAL INC /PA/,ASRV,{'ASRV'},1,00:00.0,00:00.0,25,25,AMERISERV FINANCIAL INC
1140859,1140859,1140859,AMERISOURCEBERGEN CORP,ABC,{'ABC'},1,00:00.0,00:00.0,20,20,AMERISOURCEBERGEN
945828,945828,945828,AMERITYRE CORP,AMTY,{'AMTY'},1,00:00.0,00:00.0,15,15,AMERITYRE
1132651,1132651,1132651,AMES NATIONAL CORP,ATLO,{'ATLO'},1,00:00.0,00:00.0,20,20,AMES NATIONAL
1037868,1037868,1037868,AMETEK INC/,AME,{'AME'},1,00:00.0,00:00.0,19,19,AMETEK INC/
318154,318154,318154,AMGEN INC,AMGN,{'AMGN'},1,00:00.0,00:00.0,26,26,AMGEN
1178879,1178879,1178879,"AMICUS THERAPEUTICS, INC.",FOLD,{'FOLD'},1,00:00.0,00:00.0,14,14,"AMICUS THERAPEUTICS,"
1047127,1047127,1047127,"AMKOR TECHNOLOGY, INC.",AMKR,{'AMKR'},1,00:00.0,00:00.0,19,19,"AMKOR TECHNOLOGY,"
1142750,1142750,1142750,AMN HEALTHCARE SERVICES INC,AMN,{'AMN'},1,00:00.0,00:00.0,20,20,AMN HEALTHCARE SERVICES
820313,820313,820313,AMPHENOL CORP /DE/,APH,{'APH'},1,00:00.0,00:00.0,23,23,AMPHENOL CORP
6207,6207,6207,AMREP CORP.,AXR,{'AXR'},1,00:00.0,00:00.0,27,27,AMREP
720500,720500,720500,AMTECH SYSTEMS INC,ASYS,{'ASYS'},1,00:00.0,00:00.0,20,20,AMTECH SYSTEMS
1365916,1365916,1365916,"AMYRIS, INC.",AMRS,{'AMRS'},1,00:00.0,00:00.0,11,11,"AMYRIS,"
6281,6281,6281,ANALOG DEVICES INC,ADI,{'ADI'},1,00:00.0,00:00.0,26,26,ANALOG DEVICES
1370053,1370053,1370053,"ANAPTYSBIO, INC",ANAB,{'ANAB'},1,00:00.0,00:00.0,5,5,"ANAPTYSBIO,"
1314052,1314052,1314052,ANAVEX LIFE SCIENCES CORP.,AVXL,{'AVXL'},1,00:00.0,00:00.0,13,13,ANAVEX LIFE SCIENCES
6494,6494,6494,ANDREA ELECTRONICS CORP,ANDR,{'ANDR'},1,00:00.0,00:00.0,21,21,ANDREA ELECTRONICS
1275187,1275187,1275187,ANGIODYNAMICS INC,ANGO,{'ANGO'},1,00:00.0,00:00.0,17,17,ANGIODYNAMICS
1023024,1023024,1023024,ANI PHARMACEUTICALS INC,ANIP,{'ANIP'},1,00:00.0,00:00.0,16,16,ANI PHARMACEUTICALS
1013462,1013462,1013462,ANSYS INC,ANSS,{'ANSS'},1,00:00.0,00:00.0,22,22,ANSYS
1433270,1433270,1433270,ANTERO RESOURCES Corp,AR,{'AR'},1,00:00.0,00:00.0,8,8,ANTERO RESOURCES CORP
1691906,1691906,1691906,"ANTILIA GROUP, CORP.",AGGG,{'AGGG'},1,00:00.0,00:00.0,2,2,"ANTILIA GROUP,"
922864,922864,922864,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,{'AIV'},1,00:00.0,00:00.0,23,23,APARTMENT INVESTMENT & MANAGEMENT
6845,6845,6845,"APOGEE ENTERPRISES, INC.",APOG,{'APOG'},1,00:00.0,00:00.0,27,27,"APOGEE ENTERPRISES,"
1433195,1433195,1433195,APPFOLIO INC,APPF,{'APPF'},1,00:00.0,00:00.0,6,6,APPFOLIO
1441683,1441683,1441683,APPIAN CORP,APPN,{'APPN'},1,00:00.0,00:00.0,4,4,APPIAN
744452,744452,744452,APPLIED DNA SCIENCES INC,APDN,{'APDN'},1,00:00.0,00:00.0,13,13,APPLIED DNA SCIENCES
879911,879911,879911,"APPLIED ENERGETICS, INC.",AERG,{'AERG'},1,00:00.0,00:00.0,1,1,"APPLIED ENERGETICS,"
1273636,1273636,1273636,APPLIED GENETIC TECHNOLOGIES CORP,AGTC,{'AGTC'},1,00:00.0,00:00.0,7,7,APPLIED GENETIC TECHNOLOGIES
109563,109563,109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,AIT,{'AIT'},1,00:00.0,00:00.0,22,22,APPLIED INDUSTRIAL TECHNOLOGIES
6951,6951,6951,APPLIED MATERIALS INC /DE,AMAT,{'AMAT'},1,00:00.0,00:00.0,24,24,APPLIED MATERIALS INC
